mahalle,original_container,bina_sayisi,container_per_bina,latitude,longitude
19 MAYIS,743,2527,0.294,40.22791139829838,28.89700229453898
30 AĞUSTOS ZAFER,390,3943,0.0989,40.19477036127568,28.839262282008622
AKÇALAR,554,2946,0.1881,40.17726531531228,28.74527658126952
ATAEVLER,916,1256,0.7293,40.22041996754777,28.95848350954618
ATLAS,110,751,0.1465,40.12264048829561,28.888768832117176
BADIRGA,78,886,0.088,40.25450449468397,28.69282849588036
BALAT,990,1684,0.5879,40.260966127820666,28.937773493687647
BALKAN,826,1869,0.4419,40.210040953044405,28.811638073456393
BARIŞ,351,1038,0.3382,40.21510503421002,28.968906973516376
BAŞKÖY,55,1224,0.0449,40.21487172383987,28.759460985539217
BEŞEVLER,1,2828,0.0004,40.2095215825884,28.96562057234441
BÜYÜKBALIKLI,100,745,0.1342,40.25091502868457,28.77430870594631
ÇALI,805,4187,0.1923,40.17048392028422,28.91867526167662
ÇAMLICA,2,3268,0.0006,40.196001328821914,28.98117183625459
ÇATALAĞIL,51,637,0.0801,40.21683543153846,28.704662577849295
ÇAYLI,47,294,0.1599,40.27556522982993,28.74574920870748
DOĞANKÖY,187,1598,0.117,40.25719706526283,28.92095944812891
DUMLUPINAR,1,3243,0.0003,40.224636840370025,28.838886531797716
ERTUĞRUL,416,1527,0.2724,40.21584974316961,28.924226168297313
ESENTEPE,762,2236,0.3408,40.22417193881038,28.98875184149821
FADILLI,91,578,0.1574,40.15350287733564,28.70992672062284
GÖKÇE,95,440,0.2159,40.24425747540909,28.799950321
GÖLYAZI,0,817,0.0,40.16813367780905,28.67954722878825
GÖRÜKLE,841,3722,0.226,40.230627983678126,28.84474507926921
GÜMÜŞTEPE,479,3306,0.1449,40.186467858036906,28.969972104095586
GÜNGÖREN,68,752,0.0904,40.10756820920213,28.799000981861703
HASANAĞA,224,1438,0.1558,40.17091049911683,28.793150396606396
IŞIKTEPE,699,985,0.7096,40.2280281162335,28.959328603401016
KARACAOBA,81,495,0.1636,40.21639481509091,28.724490116040403
KARAMAN,2,2635,0.0008,40.215990745852,28.99604844658444
KAYAPA,335,3424,0.0978,40.17473861719042,28.836715517730724
KIZILCIKLI,486,1068,0.4551,40.19363504639513,28.807468860018727
KORUBAŞI,23,421,0.0546,40.10409368885986,28.755055533966747
KONAK,1,4268,0.0002,40.206970593901126,28.98273501757029
KONAKLI,125,1152,0.1085,40.25459052142361,28.758729590659723
KURUÇEŞME,15,213,0.0704,40.12578035366197,28.82169097201878
KURTULUŞ,200,1448,0.1381,40.21356540199586,28.827383237147792
KÜLTÜR,862,1703,0.5062,40.20072105076336,28.96443769002349
ODUNLUK,1,1953,0.0005,40.19890100226831,28.99335754516129
ÖZLÜCE,276,1143,0.2415,40.2370534708049,28.90762486141732
TAHTALI,108,1415,0.0763,40.1774827974629,28.877462859413427
UNÇUKURU,53,597,0.0888,40.118596383517584,28.72595972328308
ÜÇEVLER,2,9631,0.0002,40.20092763563285,28.946393792175265
ÜÇPINAR,21,116,0.181,40.1036838350862,28.840988656206896
ÜRÜNLÜ,358,1145,0.3127,40.2045038392227,28.87830248115284
YAYLACIK,385,1983,0.1942,40.178499389248614,28.90016562337872
YOLÇATI,1,641,0.0016,40.257854774789394,28.86909453527301
